5e5c13ca-d14d-11ec-9d64-0242ac120002;Brown sugar;tsp
5e5c14b0-d14d-11ec-9d64-0242ac120002;Fish sauce;tbsp
5e5c158c-d14d-11ec-9d64-0242ac120002;Vegetable oil;tbsp
5e5c1668-d14d-11ec-9d64-0242ac120002;Lemongrass stalk;ml
5e5c17e4-d14d-11ec-9d64-0242ac120002;Carton soured cream;ml
5e5c18c0-d14d-11ec-9d64-0242ac120002;Yolk;nr
5e5c1992-d14d-11ec-9d64-0242ac120002;Lemon juice;tsp
5e5c1a6e-d14d-11ec-9d64-0242ac120002;Lemon zest;tsp
5e5c1b36-d14d-11ec-9d64-0242ac120002;Golden caster sugar;tbsp
5e5c1d98-d14d-11ec-9d64-0242ac120002;Philadelphia cheese or other full-fat cheese;g
5e5bf552-d14d-11ec-9d64-0242ac120002;Bag watercress or baby spinach;g
5e5bf7b4-d14d-11ec-9d64-0242ac120002;Halloumi blocks;g
5e5bf99e-d14d-11ec-9d64-0242ac120002;White wine vinegar;tbsp
5e5bfb6a-d14d-11ec-9d64-0242ac120002;Honey;tsp
5e5bfc46-d14d-11ec-9d64-0242ac120002;Wholegrain mustard;tbsp
5e5bfd36-d14d-11ec-9d64-0242ac120002;Orange;nr
5e5bfe08-d14d-11ec-9d64-0242ac120002;Mascarpone;g
5e5bfee4-d14d-11ec-9d64-0242ac120002;Parmesan;g
5e5c0092-d14d-11ec-9d64-0242ac120002;Chicken stock cube;nr
5e5c016e-d14d-11ec-9d64-0242ac120002;Cooked streaky bacon;g
5e5c024a-d14d-11ec-9d64-0242ac120002;Tagliatelle;g
5e5c0330-d14d-11ec-9d64-0242ac120002;Green salad;nr
5e5c04a2-d14d-11ec-9d64-0242ac120002;Naan bread;nr
5e5c0588-d14d-11ec-9d64-0242ac120002;Garam masala;tsp
5e5c065a-d14d-11ec-9d64-0242ac120002;Beef stock;ml
5e5c0826-d14d-11ec-9d64-0242ac120002;Cardamom pods;nr
5e5c090c-d14d-11ec-9d64-0242ac120002;Turmeric;tsp
5e5c09de-d14d-11ec-9d64-0242ac120002;Hot chili powder;tsp
5e5c0aba-d14d-11ec-9d64-0242ac120002;Braising steak;g
5e5c0c7c-d14d-11ec-9d64-0242ac120002;Oil;tbsp
5e5c0d4e-d14d-11ec-9d64-0242ac120002;Pumpkin;g
